ссылка на таблицу:
https://docs.google.com/spreadsheets/d/1nGiAhGcIHm1QikKIbAN_krccRdjT34EOUSx4z0APf2s/edit?usp=sharing

Шрифты	Размер	Цвет текста	Подчеркивание	Цвет подчеркивания	Начертание	Зачеркнутый	Двойное зачеркивание	Надстрочный	Подстрочный	Сдвиг	Малые прописные	Все прописные	Выровнять высоту знаков
Calibri	10.5	красный	жирная линия	нет	полужирный	false	true	true	false	50	true	false	false
Times	10.5	белый	двойная линия	цвет из политры	полужирный	true	false	true	false	1	false	true	false
Calibri	1	белый	пунктирная линия	цвет из политры	обычный	false	true	true	false	1	true	false	false
Verdana	10.5	белый	нет	нет	полужирный курсив	true	false	true	false	1	false	true	true
Verdana	10.5	черный	жирная линия	цвет из политры	курсив	true	false	false	false	0	false	false	true
Verdana	4000	черный	пунктирная линия	нет	обычный	false	true	true	false	50	false	true	true
Arial	24	белый	пунктирная линия	нет	курсив	false	true	true	false	50	true	false	false
Times	4000	красный	пунктирная линия	цвет из политры	обычный	false	true	true	false	1	false	true	false
Arial	4000	белый	одинарная линия	стандартный	курсив	true	false	true	false	1	true	false	true
Verdana	24	красный	одинарная линия	цвет из политры	полужирный курсив	false	true	true	false	100	true	false	false
Times	54	белый	жирная линия	цвет из политры	обычный	true	false	true	false	100	false	true	true
Times	1	черный	одинарная линия	стандартный	полужирный	true	false	false	false	0	false	true	false
Arial	1	красный	пунктирная линия	цвет из политры	полужирный курсив	true	false	true	false	50	true	false	true
Arial	4000	черный	жирная линия	цвет из политры	полужирный	false	true	true	false	1	true	false	false
Times New Roman	1	белый	нет	нет	курсив	false	true	true	false	50	true	false	false
Calibri	4000	красный	двойная линия	нет	полужирный курсив	true	false	false	false	0	false	true	true
Times	4000	черный	жирная пунктирная линия	стандартный	полужирный курсив	true	false	true	false	50	false	true	true
Calibri	24	белый	нет	нет	обычный	false	false	false	false	0	false	true	true
Calibri	1	черный	жирная пунктирная линия	нет	обычный	false	false	true	false	100	false	false	true
Times New Roman	4000	черный	жирная пунктирная линия	стандартный	полужирный	false	false	true	false	50	true	false	true
Verdana	54	красный	жирная пунктирная линия	цвет из политры	курсив	true	false	true	false	50	true	false	true
Times New Roman	24	черный	жирная линия	стандартный	полужирный курсив	true	false	true	false	1	false	true	false
Calibri	54	черный	одинарная линия	нет	полужирный курсив	false	true	true	false	50	false	true	true
Times New Roman	54	белый	двойная линия	цвет из политры	обычный	false	true	true	false	1	false	true	true
Verdana	10.5	черный	двойная линия	цвет из политры	полужирный	false	true	true	false	1	false	true	false
Times New Roman	24	белый	жирная пунктирная линия	стандартный	полужирный	false	true	true	false	1	false	true	false
Times New Roman	54	белый	пунктирная линия	цвет из политры	полужирный	false	true	false	false	0	true	false	true
Arial	10.5	черный	пунктирная линия	стандартный	обычный	true	false	true	false	100	true	false	false
Times	4000	черный	нет	нет	полужирный	true	false	true	false	100	false	false	false
Arial	54	красный	двойная линия	стандартный	курсив	false	true	true	false	50	false	true	false
Arial	10.5	черный	жирная пунктирная линия	нет	полужирный курсив	true	false	false	false	0	false	true	true
Calibri	1	красный	двойная линия	стандартный	курсив	false	true	true	false	100	false	true	false
Times New Roman	10.5	красный	одинарная линия	стандартный	обычный	false	true	true	false	100	false	true	true
Arial	54	красный	нет	нет	курсив	false	true	true	false	1	false	true	true
Times	24	черный	двойная линия	нет	курсив	true	false	true	false	50	true	false	true
Verdana	1	красный	жирная линия	стандартный	полужирный	true	false	true	false	1	true	false	true
