результаты в табличном виде:
https://docs.google.com/spreadsheets/d/1nGiAhGcIHm1QikKIbAN_krccRdjT34EOUSx4z0APf2s/edit?usp=sharing

Шрифты	Размер	Цвет текста	Подчеркивание	Цвет подчеркивания	Начертание	Зачеркнутый	Двойное зачеркивание	Надстрочный	Подстрочный	Сдвиг	Малые прописные	Все прописные	Выровнять высоту знаков
Times New Roman	96	стандартный	жирная линия	стандартный	полужирный	true	false	true	false	100	true	false	true
Sylfaen	8	цвет из политры	жирная пунктирная линия	стандартный	курсив	false	true	true	false	50	false	true	true
Franklin Gothic Medium	32	цвет из политры	одинарная линия	стандартный	полужирный	false	true	true	false	100	true	false	true
MS Gothic	12	цвет из политры	пунктирная линия	цвет из политры	обычный	false	true	false	false	0	false	true	false
Candara	24	цвет из политры	одинарная линия	цвет из политры	полужирный	false	true	false	false	0	false	false	true
Book Antiqua	96	цвет из политры	жирная линия	цвет из политры	обычный	true	false	false	false	0	true	false	true
Candara	40	цвет из политры	пунктирная линия	нет	обычный	false	true	true	false	50	false	false	true
Calibri Light	36	стандартный	пунктирная линия	стандартный	курсив	false	false	true	false	100	true	false	false
Comic Sans MS	88	цвет из политры	двойная линия	цвет из политры	курсив	false	true	true	false	100	true	false	true
Constantia	40	стандартный	жирная пунктирная линия	цвет из политры	полужирный	false	false	false	false	0	false	true	false
TW Cen MT	10.5	цвет из политры	одинарная линия	цвет из политры	полужирный	false	false	false	false	0	false	true	false
Georgia	36	стандартный	пунктирная линия	цвет из политры	курсив	false	true	true	false	100	true	false	true
Constantia	9	цвет из политры	пунктирная линия	цвет из политры	полужирный	true	false	false	false	0	true	false	false
Verdana	20	стандартный	двойная линия	стандартный	полужирный	false	false	true	false	100	false	false	true
Consolas	8	цвет из политры	пунктирная линия	нет	обычный	true	false	true	false	50	false	true	false
Consolas	10.5	стандартный	жирная пунктирная линия	стандартный	курсив	false	true	true	false	100	false	true	true
Century Schoolbook	12	цвет из политры	одинарная линия	нет	обычный	false	true	false	false	0	false	true	true
Times New Roman	18	стандартный	двойная линия	стандартный	полужирный курсив	false	true	false	false	0	false	true	true
Calibri	32	стандартный	жирная линия	цвет из политры	полужирный	false	true	true	false	50	false	false	true
Lucida Sans	28	цвет из политры	жирная пунктирная линия	нет	полужирный	false	true	true	false	100	true	false	true
Calibri Light	66	цвет из политры	жирная линия	нет	полужирный курсив	false	false	true	false	100	false	true	true
Cambria	14	стандартный	одинарная линия	цвет из политры	полужирный курсив	false	true	true	false	100	false	true	true
Georgia	72	цвет из политры	жирная линия	нет	курсив	false	true	true	false	50	false	false	false
MPingLiU-ExtB	32	стандартный	двойная линия	цвет из политры	курсив	false	true	true	false	50	true	false	true
SimSun	32	стандартный	жирная линия	нет	полужирный	false	true	false	false	0	false	false	true
Century Gothic	10	цвет из политры	двойная линия	нет	обычный	false	false	true	false	100	false	true	false
SimSun-ExtB	16	цвет из политры	двойная линия	стандартный	обычный	false	true	true	false	100	false	true	true
Trebuchet MS	96	цвет из политры	пунктирная линия	стандартный	полужирный курсив	false	true	true	false	100	false	true	false
Franklin Gothic Medium	66	цвет из политры	нет	нет	полужирный курсив	true	false	true	false	50	true	false	true
Franklin Gothic Medium	80	цвет из политры	двойная линия	стандартный	полужирный курсив	true	false	false	false	0	false	true	false
Courier New	11	стандартный	жирная пунктирная линия	цвет из политры	курсив	false	true	false	false	0	true	false	true
Arial	8	цвет из политры	двойная линия	цвет из политры	полужирный	true	false	true	false	100	false	true	true
Constantia	10.5	стандартный	жирная пунктирная линия	стандартный	обычный	true	false	true	false	100	false	false	true
Century Schoolbook	54	цвет из политры	жирная линия	цвет из политры	курсив	false	true	false	false	0	false	true	true
Tahoma	11	цвет из политры	пунктирная линия	стандартный	полужирный курсив	true	false	false	false	0	true	false	false
Times New Roman	10	стандартный	одинарная линия	стандартный	полужирный	false	true	false	false	0	false	true	true
Arial Black	66	стандартный	двойная линия	стандартный	обычный	false	true	true	false	100	true	false	true
Corbel	40	стандартный	пунктирная линия	цвет из политры	курсив	false	true	true	false	100	false	false	false
SimSun-ExtB	72	цвет из политры	двойная линия	нет	полужирный курсив	false	false	false	false	0	false	true	true
Franklin Gothic Medium	28	цвет из политры	жирная пунктирная линия	цвет из политры	полужирный курсив	false	false	false	false	0	false	true	true
Trebuchet MS	54	стандартный	одинарная линия	цвет из политры	обычный	false	true	true	false	50	false	false	false
MPingLiU-ExtB	28	стандартный	жирная линия	стандартный	курсив	false	true	false	false	0	false	true	true
SimSun	14	стандартный	одинарная линия	цвет из политры	курсив	true	false	true	false	50	false	true	false
Century Schoolbook	16	цвет из политры	одинарная линия	стандартный	обычный	false	true	true	false	100	false	false	false
Verdana	72	стандартный	жирная линия	стандартный	обычный	false	true	false	false	0	false	false	false
Lucida Sans Unicode	80	цвет из политры	жирная линия	нет	полужирный курсив	false	true	false	false	0	false	true	false
Cambria	72	стандартный	двойная линия	цвет из политры	обычный	true	false	true	false	50	false	true	true
Franklin Gothic Book	54	стандартный	жирная линия	нет	полужирный курсив	true	false	true	false	100	false	false	false
Tahoma	60	стандартный	пунктирная линия	стандартный	полужирный	false	false	true	false	50	false	true	true
Corbel	32	стандартный	пунктирная линия	стандартный	полужирный курсив	true	false	false	false	0	false	true	true
Times	10	цвет из политры	одинарная линия	нет	полужирный курсив	false	false	false	false	0	false	true	false
Century Gothic	14	цвет из политры	двойная линия	стандартный	обычный	false	true	true	false	50	false	true	true
Candara	18	стандартный	одинарная линия	цвет из политры	курсив	false	true	false	false	0	false	true	false
Franklin Gothic Medium	18	цвет из политры	одинарная линия	стандартный	полужирный курсив	true	false	true	false	100	false	false	true
Lucida Sans Unicode	88	стандартный	жирная пунктирная линия	цвет из политры	обычный	false	false	true	false	100	false	false	true
Calibri Light	10	стандартный	двойная линия	цвет из политры	полужирный	false	true	false	false	0	false	false	false
Gautami	8	цвет из политры	двойная линия	нет	полужирный курсив	false	false	false	false	0	true	false	false
Constantia	32	стандартный	жирная линия	цвет из политры	полужирный	true	false	true	false	100	false	true	true
Verdana	28	стандартный	одинарная линия	стандартный	курсив	false	true	true	false	100	false	false	false
Bookman Old Style	9	стандартный	жирная линия	цвет из политры	обычный	false	true	true	false	50	true	false	true
